Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type ,Demand Loss (MW),Number of Customers Affected 
8/14/2003,4:09 PM,8/16/2003, 7:00 AM,Southeastern Michigan including all of Detroit,ECAR,,Unknown *,11000,2100000
8/14/2003,4:09 PM,8/16/2003, 1:03 PM,"Southern Lower  Michigan and small areas near Flint, Alma, Saginaw, and Lansing Michigan",ECAR,,Unknown *,1007,101000
8/14/2003,4:10 PM,8/16/2003, 8:27 PM,"Northeast, Ohio",ECAR,,Unknown *,7000,1203000
8/14/2003,4:10 PM,8/16/2003, 3:45 AM,Southwestern Connecticut and a small portion of Western Massachusetts and Vermont,NPCC,,Unknown *,2500,0
8/14/2003,4:10 PM,8/18/2003, 12:03 AM,New York State,NPCC,,Unknown *,22934,0
8/14/2003,4:10 PM,8/14/2003, 11:48 PM,"New York- Buffalo to Albany; Ontario, Canada to Pennsylvania",NPCC,,Unknown *,0,840137
8/14/2003,4:10 PM,8/14/2003, 6:00 AM,"Northern New Jersey Erie, Pennsylvania  area",MAAC,,Unknown *,4500,0
8/14/2003,4:11 PM,8/15/2003, 9:03 PM,Entire Con Edison System (five boroughs of NYC and Westchester County),NPCC,,Unknown *,11202,3125350
8/26/2003,4:00 PM,8/29/2003, 12:00 PM,"Maryland: Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",MAAC,,Severe Thunderstorms,625,133000
8/26/2003,4:22 PM,8/31/2003, 6:00 PM,"Washington, D.C.,  Montgomery County,  Prince Georges County, Maryland",MAAC,,Severe Thunderstorms,1500,153000
9/7/2003,5:19 AM,9/7/2003, 6:00 PM,Upper Michigan Peninsula,MAIN,,Transmission  Equipment,310,4
9/18/2003,8:20 AM,9/29/2003, 10:42 PM,"North Eastern North Carolina, Eastern Central , and Northern Virginia",SERC,,Hurricane Isabel,6512,1800000
9/18/2003,11:45 AM,9/18/2003, 12:00 AM,Eastern North Carolina,SERC,,Hurricane Isabel,1655,320000
9/18/2003,12:00 PM,9/26/2003, 10:50 PM,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",MAAC,,Hurricane Isabel,2000,650000
9/18/2003,2:00 PM,9/24/2003, 12:00 AM,"Maryland, West Virginia, Virginia and Pennsylvania",MAAC,,Hurricane Isabel,3085,237366
9/18/2003,3:32 PM,9/19/2003, 5:00 PM,Triangle and Tridad (Greensboro – High Point)  Areas North Carolina - Northern Region,SERC,,Hurricane Isabel,700,50000
9/18/2003,4:20 PM,9/28/2003, 6:00 PM,"District of Columbia, Montgomery and Prince George's Counties, Maryland",MAAC,,Hurricane Isabel,0,530000
9/18/2003,9:00 PM,9/21/2003, 5:00 PM,"All PPL including: Williamsport, Harrisburg, Lancaster, Scranton and Allentown areas",MAAC,,Hurricane Isabel,1300,425000
10/26/2003,1:44 AM,11/18/2003, 10:54 AM ,"San Diego County, California",WECC ,,Wild Fire,0,108000
11/5/2003,3:16 PM,11/5/2003, 3:54 PM,Maryland/Virginia border,MAAC,,Tornado,350,1
11/12/2003,5:00 PM,11/16/2003, 6:00 PM,Lower Michigan Peninsula,ECAR,,Wind Storm,90,245000
11/12/2003,5:00 PM,11/12/2003, 7:00 PM,Northern Illinois,MAIN,,High Winds,370,51000
11/12/2003,6:00 PM,11/16/2003, 5:00 PM,Southeastern Michigan,ECAR,,Storm with High Winds,75,160000
11/13/2003,6:00 AM,11/16/2003, 4:00 PM,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Harford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",MAAC,,High Winds,375,110000
11/13/2003,7:30 AM,11/14/2003, 6:30 AM,New York,NPCC,,Storm with High Winds,180,50280
11/13/2003,11:00 AM,11/14/2003, 7:30 AM,"Washington, D.C., Montgomery County, Prince Georges County, Md",MAAC,,Major Wind Storm,400,104195
11/13/2003,1:40 PM,11/13/2003, 3:51 PM,"Northern Virginia, Richmond area, Eastern Virginia",SERC,,Wind Storm,300,67000
12/1/2003,6:16 PM,12/1/2003, 8:11 PM,Cape Cod and part of SE Massachusetts,NPCC,,Wild Fire – Transmission Equipment,630,300000
12/4/2003,7:00 AM,12/8/2003, 7:00 AM,Eastern portions of King County and Pierce County,WECC,,High Winds,175,200000
12/4/2003,10:34 PM,12/7/2003, 8:30 AM,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,MAIN,,Fault on 138 KV line,650,6
12/4/2003,10:15 PM,12/8/2003, 8:30 AM,Upper Peninsula of Michigan and Northeastern Wisconsin,MAIN,,Fault on 138 KV line,500,36000
12/5/2003,4:49 AM,12/5/2003, 6:25 AM,State of Florida - Dade County,FRCC,,Transmission Equipment,27,16500
12/5/2003,7:00 AM,12/5/2003, 8:00 PM,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,MAIN,,Transmission Equipment,14,2
12/20/2003,3:51 PM,12/21/2003, 11:45 PM,"San Francisco, California",WECC,,Cable Failure,150,120000
12/22/2003,11:15 AM,12/22/2003, 11:16 AM,Central California Coast,WECC,,Earthquake,220,109750
12/28/2003,9:00 PM,1/1/2004, 11:30 AM,Northern California,WECC,,Winter Storm,160,241000
